answer,cat,question,subcat
the Constitution,AMERICAN GOVERNMENT,1. What is the supreme law of the land? ,1A: Principles of American Democracy
"sets up the government
defines the government
protects basic rights of Americans",AMERICAN GOVERNMENT,2. What does the Constitution do? ,1A: Principles of American Democracy
We the People,AMERICAN GOVERNMENT,3. The idea of self-government is in the first three words of the Constitution. What are these words? ,1A: Principles of American Democracy
"a change (to the Constitution)
an addition (to the Constitution)",AMERICAN GOVERNMENT,4. What is an amendment? ,1A: Principles of American Democracy
the Bill of Rights,AMERICAN GOVERNMENT,5. What do we call the first ten amendments to the Constitution? ,1A: Principles of American Democracy
"speech
religion
assembly
press
petition the government",AMERICAN GOVERNMENT,6. What is one right or freedom from the First Amendment?* ,1A: Principles of American Democracy
twenty-seven (27),AMERICAN GOVERNMENT,7. How many amendments does the Constitution have? ,1A: Principles of American Democracy
"announced our independence (from Great Britain)
declared our independence (from Great Britain)
said that the United States is free (from Great Britain)",AMERICAN GOVERNMENT,8. What did the Declaration of Independence do? ,1A: Principles of American Democracy
"life
liberty
pursuit of happiness",AMERICAN GOVERNMENT,9. What are two rights in the Declaration of Independence? ,1A: Principles of American Democracy
"You can practice any religion, or not practice a religion.",AMERICAN GOVERNMENT,10. What is freedom of religion? ,1A: Principles of American Democracy
"capitalist economy
market economy",AMERICAN GOVERNMENT,11. What is the economic system in the United States?* ,1A: Principles of American Democracy
"Everyone must follow the law.
Leaders must obey the law.
Government must obey the law.
No one is above the law.",AMERICAN GOVERNMENT,12. What is the “rule of law”? ,1A: Principles of American Democracy
"Congress
legislative
President
executive
the courts
judicial",AMERICAN GOVERNMENT,13. Name one branch or part of the government.* ,1B: System of Government
"checks and balances
separation of powers",AMERICAN GOVERNMENT,14. What stops one branch of government from becoming too powerful? ,1B: System of Government
the President,AMERICAN GOVERNMENT,15. Who is in charge of the executive branch? ,1B: System of Government
"Congress
Senate and House (of Representatives)
(U.S. or national) legislature",AMERICAN GOVERNMENT,16. Who makes federal laws? ,1B: System of Government
the Senate and House (of Representatives),AMERICAN GOVERNMENT,17. What are the two parts of the U.S. Congress?* ,1B: System of Government
one hundred (100),AMERICAN GOVERNMENT,18. How many U.S. Senators are there? ,1B: System of Government
six (6),AMERICAN GOVERNMENT,19. We elect a U.S. Senator for how many years? ,1B: System of Government
Answers will vary. [Dianne Feinstein (92);Kamala Harris (17) @ CA],AMERICAN GOVERNMENT,20. Who is one of your state’s U.S. Senators now?* ,1B: System of Government
four hundred thirty-five (435),AMERICAN GOVERNMENT,21. The House of Representatives has how many voting members? ,1B: System of Government
two (2),AMERICAN GOVERNMENT,22. We elect a U.S. Representative for how many years? ,1B: System of Government
Answers will vary. [Nancy Pelosi;Kevin McCarthy @ CA],AMERICAN GOVERNMENT,23. Name your U.S. Representative. ,1B: System of Government
all people of the state,AMERICAN GOVERNMENT,24. Who does a U.S. Senator represent? ,1B: System of Government
"(because of) the state’s population
(because) they have more people
(because) some states have more people",AMERICAN GOVERNMENT,25. Why do some states have more Representatives than other states? ,1B: System of Government
four (4),AMERICAN GOVERNMENT,26. We elect a President for how many years? ,1B: System of Government
November,AMERICAN GOVERNMENT,27. In what month do we vote for President?* ,1B: System of Government
"Donald J. Trump
Donald Trump
Trump",AMERICAN GOVERNMENT,28. What is the name of the President of the United States now?* ,1B: System of Government
"Michael R. Pence
Mike Pence
Pence",AMERICAN GOVERNMENT,29. What is the name of the Vice President of the United States now? ,1B: System of Government
the Vice President,AMERICAN GOVERNMENT,"30. If the President can no longer serve, who becomes President? ",1B: System of Government
the Speaker of the House,AMERICAN GOVERNMENT,"31. If both the President and the Vice President can no longer serve, who becomes President? ",1B: System of Government
the President,AMERICAN GOVERNMENT,32. Who is the Commander in Chief of the military? ,1B: System of Government
the President,AMERICAN GOVERNMENT,33. Who signs bills to become laws? ,1B: System of Government
the President,AMERICAN GOVERNMENT,34. Who vetoes bills? ,1B: System of Government
advises the President,AMERICAN GOVERNMENT,35. What does the President’s Cabinet do? ,1B: System of Government
"Secretary of Agriculture
Secretary of Commerce
Secretary of Defense
Secretary of Education
Secretary of Energy
Secretary of Health and Human Services
Secretary of Homeland Security
Secretary of Housing and Urban Development
Secretary of the Interior
Secretary of Labor
Secretary of State
Secretary of Transportation
Secretary of the Treasury
Secretary of Veterans Affairs
Attorney General
Vice President",AMERICAN GOVERNMENT,36. What are two Cabinet-level positions? ,1B: System of Government
"reviews laws
explains laws
resolves disputes (disagreements)
decides if a law goes against the Constitution",AMERICAN GOVERNMENT,37. What does the judicial branch do? ,1B: System of Government
the Supreme Court,AMERICAN GOVERNMENT,38. What is the highest court in the United States? ,1B: System of Government
nine (9),AMERICAN GOVERNMENT,39. How many justices are on the Supreme Court? ,1B: System of Government
"John Roberts (John G. Roberts, Jr.)",AMERICAN GOVERNMENT,40. Who is the Chief Justice of the United States now? ,1B: System of Government
"to print money
to declare war
to create an army
to make treaties",AMERICAN GOVERNMENT,"41. Under our Constitution, some powers belong to the federal government. What is one power of the federal government? ",1B: System of Government
"provide schooling and education
provide protection (police)
provide safety (fire departments)
give a driver’s license
approve zoning and land use",AMERICAN GOVERNMENT,"42. Under our Constitution, some powers belong to the states. What is one power of the states? ",1B: System of Government
Answers will vary. [District of Columbia residents should answer that D.C. does not have a Governor.],AMERICAN GOVERNMENT,43. Who is the Governor of your state now? ,1B: System of Government
Answers will vary. [District of Columbia residents should answer that D.C. is not a state and does not have a capital. Residents of U.S. territories should name the capital of the territory.],AMERICAN GOVERNMENT,44. What is the capital of your state?* ,1B: System of Government
Democratic and Republican,AMERICAN GOVERNMENT,45. What are the two major political parties in the United States?* ,1B: System of Government
Republican (Party),AMERICAN GOVERNMENT,46. What is the political party of the President now? ,1B: System of Government
"Paul D. Ryan
(Paul) Ryan",AMERICAN GOVERNMENT,47. What is the name of the Speaker of the House of Representatives now? ,1B: System of Government
"Citizens eighteen (18) and older (can vote).
You don’t have to pay (a poll tax) to vote.
Any citizen can vote. (Women and men can vote.)
A male citizen of any race (can vote).",AMERICAN GOVERNMENT,48. There are four amendments to the Constitution about who can vote. Describe one of them. ,1C: Rights and Responsibilities
"serve on a jury
vote in a federal election",AMERICAN GOVERNMENT,49. What is one responsibility that is only for United States citizens?* ,1C: Rights and Responsibilities
"vote in a federal election
run for federal office",AMERICAN GOVERNMENT,50. Name one right only for United States citizens. ,1C: Rights and Responsibilities
"freedom of expression
freedom of speech
freedom of assembly
freedom to petition the government
freedom of religion
the right to bear arms",AMERICAN GOVERNMENT,51. What are two rights of everyone living in the United States? ,1C: Rights and Responsibilities
"the United States
the flag",AMERICAN GOVERNMENT,52. What do we show loyalty to when we say the Pledge of Allegiance? ,1C: Rights and Responsibilities
"give up loyalty to other countries
defend the Constitution and laws of the United States
obey the laws of the United States
serve in the U.S. military (if needed)
serve (do important work for) the nation (if needed)
be loyal to the United States",AMERICAN GOVERNMENT,53. What is one promise you make when you become a United States citizen? ,1C: Rights and Responsibilities
eighteen (18) and older,AMERICAN GOVERNMENT,54. How old do citizens have to be to vote for President?* ,1C: Rights and Responsibilities
"vote
join a political party
help with a campaign
join a civic group
join a community group
give an elected official your opinion on an issue
call Senators and Representatives
publicly support or oppose an issue or policy
run for office
write to a newspaper",AMERICAN GOVERNMENT,55. What are two ways that Americans can participate in their democracy? ,1C: Rights and Responsibilities
April 15,AMERICAN GOVERNMENT,56. When is the last day you can send in federal income tax forms?* ,1C: Rights and Responsibilities
"at age eighteen (18)
between eighteen (18) and twenty-six (26)",AMERICAN GOVERNMENT,57. When must all men register for the Selective Service? ,1C: Rights and Responsibilities
"freedom
political liberty
religious freedom
economic opportunity
practice their religion
escape persecution",AMERICAN HISTORY,58. What is one reason colonists came to America? ,2A: Colonial Period and Independence
"American Indians
Native Americans",AMERICAN HISTORY,59. Who lived in America before the Europeans arrived? ,2A: Colonial Period and Independence
"Africans
people from Africa",AMERICAN HISTORY,60. What group of people was taken to America and sold as slaves? ,2A: Colonial Period and Independence
"because of high taxes (taxation without representation)
because the British army stayed in their houses (boarding, quartering)
because they didn’t have self-government",AMERICAN HISTORY,61. Why did the colonists fight the British? ,2A: Colonial Period and Independence
(Thomas) Jefferson,AMERICAN HISTORY,62. Who wrote the Declaration of Independence? ,2A: Colonial Period and Independence
"July 4, 1776",AMERICAN HISTORY,63. When was the Declaration of Independence adopted? ,2A: Colonial Period and Independence
"New Hampshire
Massachusetts
Rhode Island
Connecticut
New York
New Jersey
Pennsylvania
Delaware
Maryland
Virginia
North Carolina
South Carolina
Georgia",AMERICAN HISTORY,64. There were 13 original states. Name three. ,2A: Colonial Period and Independence
"The Constitution was written.
The Founding Fathers wrote the Constitution.",AMERICAN HISTORY,65. What happened at the Constitutional Convention? ,2A: Colonial Period and Independence
1787,AMERICAN HISTORY,66. When was the Constitution written? ,2A: Colonial Period and Independence
"(James) Madison
(Alexander) Hamilton
(John) Jay
Publius",AMERICAN HISTORY,67. The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers. ,2A: Colonial Period and Independence
"U.S. diplomat
oldest member of the Constitutional Convention
first Postmaster General of the United States
writer of “Poor Richard’s Almanac”
started the first free libraries",AMERICAN HISTORY,68. What is one thing Benjamin Franklin is famous for? ,2A: Colonial Period and Independence
(George) Washington,AMERICAN HISTORY,69. Who is the “Father of Our Country”? ,2A: Colonial Period and Independence
(George) Washington,AMERICAN HISTORY,70. Who was the first President?* ,2A: Colonial Period and Independence
"the Louisiana Territory
Louisiana",AMERICAN HISTORY,71. What territory did the United States buy from France in 1803? ,2B: 1800s
"War of 1812
Mexican-American War
Civil War
Spanish-American War",AMERICAN HISTORY,72. Name one war fought by the United States in the 1800s. ,2B: 1800s
"the Civil War
the War between the States",AMERICAN HISTORY,73. Name the U.S. war between the North and the South. ,2B: 1800s
"slavery
economic reasons
states’ rights",AMERICAN HISTORY,74. Name one problem that led to the Civil War. ,2B: 1800s
"freed the slaves (Emancipation Proclamation)
saved (or preserved) the Union
led the United States during the Civil War",AMERICAN HISTORY,75. What was one important thing that Abraham Lincoln did?* ,2B: 1800s
"freed the slaves
freed slaves in the Confederacy
freed slaves in the Confederate states
freed slaves in most Southern states",AMERICAN HISTORY,76. What did the Emancipation Proclamation do? ,2B: 1800s
"fought for women’s rights
fought for civil rights",AMERICAN HISTORY,77. What did Susan B. Anthony do? ,2B: 1800s
"World War I
World War II
Korean War
Vietnam War
(Persian) Gulf War",AMERICAN HISTORY,78. Name one war fought by the United States in the 1900s.* ,2C: Recent American History and Other Important Historical Information
(Woodrow) Wilson,AMERICAN HISTORY,79. Who was President during World War I? ,2C: Recent American History and Other Important Historical Information
(Franklin) Roosevelt,AMERICAN HISTORY,80. Who was President during the Great Depression and World War II? ,2C: Recent American History and Other Important Historical Information
"Japan, Germany, and Italy",AMERICAN HISTORY,81. Who did the United States fight in World War II? ,2C: Recent American History and Other Important Historical Information
World War II,AMERICAN HISTORY,"82. Before he was President, Eisenhower was a general. What war was he in? ",2C: Recent American History and Other Important Historical Information
Communism,AMERICAN HISTORY,"83. During the Cold War, what was the main concern of the United States? ",2C: Recent American History and Other Important Historical Information
civil rights (movement),AMERICAN HISTORY,84. What movement tried to end racial discrimination? ,2C: Recent American History and Other Important Historical Information
"fought for civil rights
worked for equality for all Americans",AMERICAN HISTORY,"85. What did Martin Luther King, Jr. do?* ",2C: Recent American History and Other Important Historical Information
Terrorists attacked the United States.,AMERICAN HISTORY,"86. What major event happened on September 11, 2001, in the United States? ",2C: Recent American History and Other Important Historical Information
"Cherokee
Navajo
Sioux
Chippewa
Choctaw
Pueblo
Apache
Iroquois
Creek
Blackfeet
Seminole
Cheyenne
Arawak
Shawnee
Mohegan
Huron
Oneida
Lakota
Crow
Teton
Hopi
Inuit",AMERICAN HISTORY,87. Name one American Indian tribe in the United States. ,2C: Recent American History and Other Important Historical Information
"Missouri (River)
Mississippi (River)",INTEGRATED CIVICS,88. Name one of the two longest rivers in the United States. ,3A: Geography
Pacific (Ocean),INTEGRATED CIVICS,89. What ocean is on the West Coast of the United States? ,3A: Geography
Atlantic (Ocean),INTEGRATED CIVICS,90. What ocean is on the East Coast of the United States? ,3A: Geography
"Puerto Rico
U.S. Virgin Islands
American Samoa
Northern Mariana Islands
Guam",INTEGRATED CIVICS,91. Name one U.S. territory. ,3A: Geography
"Maine
New Hampshire
Vermont
New York
Pennsylvania
Ohio
Michigan
Minnesota
North Dakota
Montana
Idaho
Washington
Alaska",INTEGRATED CIVICS,92. Name one state that borders Canada. ,3A: Geography
"California
Arizona
New Mexico
Texas",INTEGRATED CIVICS,93. Name one state that borders Mexico. ,3A: Geography
"Washington, D.C.",INTEGRATED CIVICS,94. What is the capital of the United States?* ,3A: Geography
"New York (Harbor)
Liberty Island",INTEGRATED CIVICS,95. Where is the Statue of Liberty?* ,3A: Geography
"because there were 13 original colonies
because the stripes represent the original colonies",INTEGRATED CIVICS,96. Why does the flag have 13 stripes? ,3B: Symbols
"because there is one star for each state
because each star represents a state
because there are 50 states",INTEGRATED CIVICS,97. Why does the flag have 50 stars?* ,3B: Symbols
The Star-Spangled Banner,INTEGRATED CIVICS,98. What is the name of the national anthem? ,3B: Symbols
July 4,INTEGRATED CIVICS,99. When do we celebrate Independence Day?* ,3C: Holidays
"New Year’s Day
Martin Luther King, Jr. Day
Presidents’ Day
Memorial Day
Independence Day
Labor Day
Columbus Day
Veterans Day
Thanksgiving
Christmas",INTEGRATED CIVICS,100. Name two national U.S. holidays. ,3C: Holidays
